city_en,year,month,bi_obs,m_hat_bi
Guangzhou,2008,9,19.146,3.1032189736033535
Guangzhou,2008,10,15.6355,3.063211346483949
Guangzhou,2008,11,3.0035,2.5440448185054834
Guangzhou,2008,12,2.0955,1.586349700616285
Guangzhou,2009,1,0.0,1.1080860195315967
Guangzhou,2009,2,6.1,2.8962824102851426
Guangzhou,2009,3,2.076,2.381250574740237
Guangzhou,2009,4,12.1825,3.0507654730152494
Guangzhou,2009,5,1.768,3.0616749943889894
Guangzhou,2009,6,30.154,3.0987388167285053
Guangzhou,2009,7,14.7275,3.20721533169113
Guangzhou,2009,8,19.6225,3.231156826785987
Guangzhou,2009,9,12.0585,3.1160456421499694
Guangzhou,2009,10,4.833,3.0693610772024438
Guangzhou,2009,11,1.597,2.162788254374676
Guangzhou,2009,12,0.981,1.5449530813326813
Guangzhou,2010,1,1.96,1.657538680646732
Guangzhou,2010,2,5.56,2.312508458537378
Guangzhou,2010,3,4.647,2.321125689616143
Guangzhou,2010,4,6.3445,2.8275724231081902
Guangzhou,2010,5,6.2815,3.0646245809946224
Guangzhou,2010,6,11.0365,3.0769837714127184
Guangzhou,2010,7,10.1955,3.2208418929199043
Guangzhou,2010,8,17.353,3.1464569810383134
Guangzhou,2010,9,11.3165,3.0809868543103205
Guangzhou,2010,10,2.5345,3.0536678675131417
Guangzhou,2010,11,3.0255,2.7090315322942367
Guangzhou,2010,12,0.43,1.5231717999089074
Guangzhou,2011,3,0.569,1.918448071888405
Guangzhou,2011,4,1.154,3.0741772731992203
Guangzhou,2011,5,2.734,3.066981802751496
Guangzhou,2011,6,2.91,3.1261935919128967
Guangzhou,2011,7,4.607,3.19039087028102
Guangzhou,2011,8,4.432,3.186598084149284
Guangzhou,2011,9,4.784,3.0763755619404654
Guangzhou,2011,10,4.142,3.0807747542694317
Guangzhou,2011,11,1.57,2.8225139749920545
Guangzhou,2011,12,3.267,1.528302616904491
Guangzhou,2012,3,1.396,2.3589754193719465
Guangzhou,2012,4,8.708,3.0824128478619888
Guangzhou,2012,5,4.264,3.061299558038111
Guangzhou,2012,6,3.504,3.1083098414553296
Guangzhou,2012,7,5.493,3.1697945332773614
Guangzhou,2012,8,5.26,3.1602661627379076
Guangzhou,2012,9,5.378,3.0566264964705914
Guangzhou,2012,10,4.326,3.0814488862408593
Guangzhou,2012,11,3.976,2.6517351451247446
Guangzhou,2012,12,2.748,1.4082734645370845
Guangzhou,2017,5,1.86,3.058286453326713
Guangzhou,2017,6,1.51,3.1212154190801096
Guangzhou,2017,7,1.73,3.124308316582082
Guangzhou,2017,8,2.95,3.232535210290484
Guangzhou,2017,9,2.79,3.1556070933397993
Guangzhou,2017,10,3.34,3.081511971438396
Guangzhou,2019,5,5.34,3.0650476835920566
Guangzhou,2019,6,5.26,3.1447674803573653
Guangzhou,2019,7,5.01,3.1681528438233935
Guangzhou,2019,8,5.72,3.2209759641852154
Guangzhou,2019,9,4.73,3.073395633239165
Guangzhou,2019,10,3.71,3.077780928403376
Guangzhou,2019,11,2.39,2.87138960411348
Huizhou,2015,3,2.31776,2.204743676617431
Huizhou,2015,4,4.52336,2.271709426550103
Huizhou,2015,5,5.38318,2.1817856497436305
Huizhou,2015,6,7.02804,2.445207632603358
Huizhou,2015,7,4.41121,2.2669898524650964
Huizhou,2015,8,4.85981,2.280481742300603
Huizhou,2015,9,6.39252,2.215151625850727
Huizhou,2015,10,5.34579,2.213674253980446
Huizhou,2015,11,3.47664,2.2757604541693874
Jiangmen,2015,1,2.3619,2.063571573366805
Jiangmen,2015,2,1.82857,2.910814821506776
Jiangmen,2015,3,3.42857,4.00872087210666
Jiangmen,2015,4,2.97143,4.468832834973963
Jiangmen,2015,5,1.98095,4.518961446476155
Jiangmen,2015,6,2.13333,4.816708277483453
Jiangmen,2015,7,3.27619,4.582490390587127
Jiangmen,2015,8,12.4952,4.620811680758067
Jiangmen,2015,9,14.1714,4.542842161032051
Jiangmen,2015,10,9.21905,4.540275410646598
Jiangmen,2015,11,8.91429,4.254337873556958
Jiangmen,2015,12,5.02857,2.2030398761190852
Jiangmen,2016,1,4.19048,1.5398471312142668
Jiangmen,2016,2,1.90476,2.011859389680383
Jiangmen,2016,3,4.49524,2.9909667606472485
Jiangmen,2016,4,9.14286,4.540852750055812
Jiangmen,2016,5,12.8762,4.513995427819011
Jiangmen,2016,6,10.7429,4.615015732276574
Jiangmen,2016,7,10.7429,4.710547344921964
Jiangmen,2016,8,10.2857,4.570904789483947
Jiangmen,2016,9,10.3619,4.519810089283052
Jiangmen,2016,10,8.15238,4.534744819621231
Jiangmen,2016,11,6.78095,3.7163854313886513
Jiangmen,2016,12,2.4381,3.0293066629155003
Jiangmen,2017,1,2.3619,2.6336545683906456
Jiangmen,2017,2,1.75238,2.359407304039318
Jiangmen,2017,3,3.42857,3.5585898426638067
Jiangmen,2017,4,3.04762,4.507662081788347
Jiangmen,2017,5,6.78095,4.517318579008076
Jiangmen,2017,6,5.6381,4.59986460895599
Jiangmen,2017,7,7.46667,4.566004066672874
Jiangmen,2017,8,7.2381,4.69633955338692
Jiangmen,2017,9,5.86667,4.601164884050497
Jiangmen,2017,10,4.0381,4.537377307044078
Jiangmen,2017,11,4.41905,3.744642670059335
Jiangmen,2017,12,3.12381,2.352736846906254
Jieyang,2008,5,5.22321,4.068981815136258
Jieyang,2008,6,15.2679,3.9821773155703055
Jieyang,2008,7,15.2679,4.193004347375155
Jieyang,2008,8,25.7143,4.159560539398938
Jieyang,2008,9,30.9375,4.1368190144281725
Jieyang,2008,10,17.2768,4.006321365845454
Jieyang,2009,5,8.4375,4.001754322992726
Jieyang,2009,6,11.6518,4.128586134202426
Jieyang,2009,7,22.5,4.340898254526635
Jieyang,2009,8,19.2857,4.468645389544025
Jieyang,2009,9,18.8839,4.239155568571418
Jieyang,2009,10,13.6607,4.0422909081631575
Jieyang,2010,5,3.21429,4.076404777474812
Jieyang,2010,6,4.41964,4.053176719448391
Jieyang,2010,7,5.625,4.33770534384759
Jieyang,2010,8,4.41964,4.262695745962025
Jieyang,2010,9,6.02679,4.051747719374988
Jieyang,2010,10,8.03571,4.223144268740927
Maoming,2017,3,5.775784753,4.672517825037893
Maoming,2017,4,5.237668161,6.124083370107789
Maoming,2017,5,5.273542601,6.458297661499641
Maoming,2017,6,5.739910314,6.452597567576975
Maoming,2017,7,6.959641256,6.456122806943776
Maoming,2017,8,5.632286996,6.453604152275119
Maoming,2017,9,5.883408072,6.452623502014459
Maoming,2017,10,5.094170404,6.2417718099239785
Maoming,2017,11,4.484304933,4.8344963254300755
Maoming,2018,3,3.156950673,4.842117633922929
Maoming,2018,4,3.802690583,5.960443506202256
Maoming,2018,5,4.01793722,6.453445310337351
Maoming,2018,6,4.771300448,6.454871673333011
Maoming,2018,7,4.591928251,6.454508883158343
Maoming,2018,8,4.233183857,6.459790227139599
Maoming,2018,9,4.843049327,6.4608009929762815
Maoming,2018,10,4.197309417,6.151269342505421
Maoming,2018,11,3.443946188,5.799979187983149
Shantou,2010,4,14.8,5.113324538600378
Shantou,2010,5,16.6,5.181633484873165
Shantou,2010,6,18.0,5.160874935360633
Shantou,2010,7,15.7,5.48547264179474
Shantou,2010,8,14.5,5.47613959166264
Shantou,2010,9,8.4,5.22657936816043
Shantou,2010,10,5.3,5.283288922954769
Shantou,2010,11,5.2,4.909773793946926
Shantou,2011,4,9.3,5.277602373276829
Shantou,2011,5,10.7,5.153444711765994
Shantou,2011,6,9.0,5.306335625899638
Shantou,2011,7,9.7,5.380916241187382
Shantou,2011,8,10.4,5.355076618978997
Shantou,2011,9,9.9,5.12900860196172
Shantou,2011,10,7.7,5.214291357923425
Shantou,2011,11,10.8,5.179560994098571
Shantou,2012,1,0.0,2.3024078501573233
Shantou,2012,2,0.0,3.0182885802171917
Shantou,2012,3,0.0,4.388639476505432
Shantou,2012,4,4.105,5.293145063177686
Shantou,2012,5,11.915,5.084473751091165
Shantou,2012,6,12.855,5.209757165985734
Shantou,2012,7,17.055,5.449979084104389
Shantou,2012,8,21.445,5.465415544784495
Shantou,2012,9,16.395,5.100602249078554
Shantou,2012,10,10.865,5.257362470925574
Shantou,2012,11,6.165,5.208023290111706
Shantou,2012,12,1.43,3.3741052030444463
Shantou,2013,4,9.4,5.196666579627319
Shantou,2013,5,11.7,5.074371761174802
Shantou,2013,6,11.7,5.26553894611333
Shantou,2013,7,11.0,5.222390410570947
Shantou,2013,8,14.3,5.419577833934222
Shantou,2013,9,8.5,5.119775235639988
Shantou,2013,10,8.8,5.21358696524565
Shantou,2013,11,5.8,5.10952599839328
Shantou,2014,4,10.5,5.317792279073313
Shantou,2014,5,10.6,5.112315035419333
Shantou,2014,6,11.3,5.3289864237617035
Shantou,2014,7,12.7,5.9615964619903306
Shantou,2014,8,8.8,5.481950455905917
Shantou,2014,9,16.8,5.292249059875797
Shantou,2014,10,12.9,5.1864810405467
Shantou,2014,11,6.2,5.1742894062458
Shenzhen,2009,3,1.9,3.5757216520086432
Shenzhen,2009,4,0.7,4.379943867547325
Shenzhen,2009,5,2.9,4.51519765055642
Shenzhen,2009,6,0.5,4.523500262987623
Shenzhen,2009,7,1.3,4.608866190497814
Shenzhen,2009,8,2.5,4.630383980062456
Shenzhen,2009,9,0.7,4.543445992328759
Shenzhen,2009,10,1.6,4.521538790966909
Shenzhen,2009,11,1.1,3.38784515918344
Shenzhen,2009,12,0.2,2.429684423572694
Shenzhen,2013,1,0.0,2.4819981394215533
Shenzhen,2013,2,0.465116,3.3433973921138334
Shenzhen,2013,3,5.86047,3.934607852848506
Shenzhen,2013,4,6.13953,4.239733168310982
Shenzhen,2013,5,17.0233,4.502213061260478
Shenzhen,2013,6,6.23256,4.531373256849963
Shenzhen,2013,7,1.86047,4.511229423586073
Shenzhen,2013,8,1.02326,4.545520653218534
Shenzhen,2013,9,1.30233,4.498728009047177
Shenzhen,2013,10,1.2093,4.53283536300847
Shenzhen,2013,11,1.2093,4.048764172050559
Shenzhen,2013,12,0.27907,1.8689741598326277
Shenzhen,2014,1,0.0930233,2.070524547905116
Shenzhen,2014,2,1.39535,1.952093216057111
Shenzhen,2014,3,5.67442,3.482979581935234
Shenzhen,2014,4,5.86047,4.4955017340910075
Shenzhen,2014,5,4.0,4.510321503639008
Shenzhen,2014,6,2.97674,4.592878814333162
Shenzhen,2014,7,3.62791,4.66693857002663
Shenzhen,2014,8,0.651163,4.572953471924124
Shenzhen,2014,9,0.372093,4.530411645874398
Shenzhen,2014,10,0.651163,4.526082404712035
Shenzhen,2014,11,1.48837,4.056965756670771
Shenzhen,2014,12,0.744186,1.8907940916211754
Shenzhen,2015,1,0.837209,2.216829156728937
Shenzhen,2015,2,0.651163,2.9093887497700925
Shenzhen,2015,3,0.651163,4.021781240056423
Shenzhen,2015,4,4.27907,4.462578129047
Shenzhen,2015,5,2.69767,4.498366746139061
Shenzhen,2015,6,1.5814,4.726592942533062
Shenzhen,2015,7,0.837209,4.554039857762575
Shenzhen,2015,8,1.95349,4.58032458374276
Shenzhen,2015,9,1.2093,4.5178876718004455
Shenzhen,2015,10,1.11628,4.528416263747942
Shenzhen,2015,11,1.11628,4.431864349278883
Shenzhen,2015,12,1.11628,2.516454372389292
Shenzhen,2016,1,1.2093,1.6888750825086947
Shenzhen,2016,2,1.48837,2.196569047647997
Shenzhen,2016,3,1.67442,3.0046882885776993
Shenzhen,2016,4,3.16279,4.5187820581413165
Shenzhen,2016,5,1.67442,4.497692561308431
Shenzhen,2016,6,3.81395,4.577464900270408
Shenzhen,2016,7,1.30233,4.649932874274722
Shenzhen,2016,8,1.2093,4.544320170440575
Shenzhen,2016,9,1.76744,4.50645804301483
Shenzhen,2016,10,2.13953,4.523737684997426
Shenzhen,2016,11,1.39535,3.939674609284396
Shenzhen,2016,12,1.95349,3.1801023885463024
Shenzhen,2017,1,3.62791,2.893959236767292
Shenzhen,2017,2,3.44186,2.5486882214654654
Shenzhen,2017,3,5.11628,3.7079357798926966
Shenzhen,2017,4,1.95349,4.49638115841407
Shenzhen,2017,5,1.48837,4.508182152328101
Shenzhen,2017,6,2.60465,4.563371069313958
Shenzhen,2017,7,3.34884,4.551000303086014
Shenzhen,2017,8,1.39535,4.666254572759486
Shenzhen,2017,9,0.930233,4.589284450315472
Shenzhen,2017,10,0.930233,4.531024657683506
Shenzhen,2017,11,1.67442,4.05263235401521
Shenzhen,2017,12,4.37209,2.7169771771725983
