ID,STUDIES_ID,Site_L1,Site_L2,Site_L3,Site_long,Site_lat,Site_year,Site_month,Site_method,N,Species,Den_admin,Num_admin,Habitat,Den_hab,Num_hab,Den_unit,
25,ANHUI_1,Anhui,NA,NA,,,2018,6,Breteau index,1,Aedes albopictus,11.26,,NA,,,%,
26,ANHUI_1,Anhui,NA,NA,,,2018,7,Breteau index,1,Aedes albopictus,14.23,,NA,,,%,
27,ANHUI_1,Anhui,NA,NA,,,2018,8,Breteau index,1,Aedes albopictus,14.75,,NA,,,%,
28,ANHUI_1,Anhui,NA,NA,,,2018,9,Breteau index,1,Aedes albopictus,11.1,,NA,,,%,
29,ANHUI_1,Anhui,NA,NA,,,2018,10,Breteau index,1,Aedes albopictus,6.28,,NA,,,%,
30,ANHUI_1,Anhui,NA,NA,,,2019,5,Breteau index,1,Aedes albopictus,4.28,,NA,,,%,
31,ANHUI_1,Anhui,NA,NA,,,2019,6,Breteau index,1,Aedes albopictus,6.78,,NA,,,%,
32,ANHUI_1,Anhui,NA,NA,,,2019,7,Breteau index,1,Aedes albopictus,12.06,,NA,,,%,
33,ANHUI_1,Anhui,NA,NA,,,2019,8,Breteau index,1,Aedes albopictus,12.24,,NA,,,%,
34,ANHUI_1,Anhui,NA,NA,,,2019,9,Breteau index,1,Aedes albopictus,11.46,,NA,,,%,
35,ANHUI_1,Anhui,NA,NA,,,2019,10,Breteau index,1,Aedes albopictus,5,,NA,,,%,
36,ANHUI_1,Anhui,NA,NA,,,2015,5,Tent trapping,1,Aedes albopictus,0.67,,NA,,,individuals/(trap，night),
37,ANHUI_1,Anhui,NA,NA,,,2015,6,Tent trapping,1,Aedes albopictus,2.09,,NA,,,individuals/(trap，night),
38,ANHUI_1,Anhui,NA,NA,,,2015,7,Tent trapping,1,Aedes albopictus,5.77,,NA,,,individuals/(trap，night),
39,ANHUI_1,Anhui,NA,NA,,,2015,8,Tent trapping,1,Aedes albopictus,5.87,,NA,,,individuals/(trap，night),
40,ANHUI_1,Anhui,NA,NA,,,2015,9,Tent trapping,1,Aedes albopictus,3.75,,NA,,,individuals/(trap，night),
41,ANHUI_1,Anhui,NA,NA,,,2015,10,Tent trapping,1,Aedes albopictus,1.81,,NA,,,individuals/(trap，night),
42,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,Total,Light trapping,2,Total,1.58,,NA,,,individuals/(trap，hour),
43,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,Total,Light trapping,2,Total,1.97,,NA,,,individuals/(trap，hour),
44,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,Total,Light trapping,2,Total,1.5,,NA,,,individuals/(trap，hour),
45,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,Total,Light trapping,2,Total,4.46,,NA,,,individuals/(trap，hour),
46,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,Total,Light trapping,2,Total,,,residential area,1,434,individuals/(trap，hour),
47,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,Total,Light trapping,2,Total,,,residential area,1.58,681,individuals/(trap，hour),
48,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,Total,Light trapping,2,Total,,,residential area,1.45,627,individuals/(trap，hour),
49,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,Total,Light trapping,2,Total,,,residential area,2.46,1061,individuals/(trap，hour),
50,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,Total,Light trapping,2,Total,,,Park,1.8,776,individuals/(trap，hour),
51,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,Total,Light trapping,2,Total,,,Park,2.95,1274,individuals/(trap，hour),
52,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,Total,Light trapping,2,Total,,,Park,1.96,848,individuals/(trap，hour),
53,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,Total,Light trapping,2,Total,,,Park,2.49,1077,individuals/(trap，hour),
54,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,Total,Light trapping,2,Total,,,Hospital,0.86,370,individuals/(trap，hour),
55,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,Total,Light trapping,2,Total,,,Hospital,1.57,677,individuals/(trap，hour),
56,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,Total,Light trapping,2,Total,,,Hospital,1.33,573,individuals/(trap，hour),
57,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,Total,Light trapping,2,Total,,,Hospital,1.62,700,individuals/(trap，hour),
58,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,Total,Light trapping,2,Total,,,Rural residential area,2.36,1019,individuals/(trap，hour),
59,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,Total,Light trapping,2,Total,,,Rural residential area,2.03,876,individuals/(trap，hour),
60,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,Total,Light trapping,2,Total,,,Rural residential area,1.58,684,individuals/(trap，hour),
61,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,Total,Light trapping,2,Total,,,Rural residential area,2.65,1145,individuals/(trap，hour),
62,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,Total,Light trapping,2,Total,,,Livestock shed,1.9,820,individuals/(trap，hour),
63,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,Total,Light trapping,2,Total,,,Livestock shed,1.72,741,individuals/(trap，hour),
64,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,Total,Light trapping,2,Total,,,Livestock shed,1.18,510,individuals/(trap，hour),
65,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,Total,Light trapping,2,Total,,,Livestock shed,13.06,5644,individuals/(trap，hour),
66,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,3,Light trapping,2,Total,0.1352657,,NA,,,individuals/(trap，hour),
67,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,4,Light trapping,2,Total,0.338164251,,NA,,,individuals/(trap，hour),
68,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,5,Light trapping,2,Total,1.623188406,,NA,,,individuals/(trap，hour),
69,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,6,Light trapping,2,Total,2.975845411,,NA,,,individuals/(trap，hour),
70,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,7,Light trapping,2,Total,2.77294686,,NA,,,individuals/(trap，hour),
71,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,8,Light trapping,2,Total,3.043478261,,NA,,,individuals/(trap，hour),
72,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,9,Light trapping,2,Total,2.367149758,,NA,,,individuals/(trap，hour),
73,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,10,Light trapping,2,Total,0.946859903,,NA,,,individuals/(trap，hour),
74,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2018,11,Light trapping,2,Total,0.202898551,,NA,,,individuals/(trap，hour),
75,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,3,Light trapping,2,Total,0.06763285,,NA,,,individuals/(trap，hour),
76,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,4,Light trapping,2,Total,0.270531401,,NA,,,individuals/(trap，hour),
77,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,5,Light trapping,2,Total,1.082125604,,NA,,,individuals/(trap，hour),
78,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,6,Light trapping,2,Total,3.111111111,,NA,,,individuals/(trap，hour),
79,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,7,Light trapping,2,Total,4.666666667,,NA,,,individuals/(trap，hour),
80,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,8,Light trapping,2,Total,3.584541063,,NA,,,individuals/(trap，hour),
81,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,9,Light trapping,2,Total,2.84057971,,NA,,,individuals/(trap，hour),
82,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,10,Light trapping,2,Total,0.879227053,,NA,,,individuals/(trap，hour),
83,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2019,11,Light trapping,2,Total,0.270531401,,NA,,,individuals/(trap，hour),
84,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,3,Light trapping,2,Total,0.202898551,,NA,,,individuals/(trap，hour),
85,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,4,Light trapping,2,Total,0.405797101,,NA,,,individuals/(trap，hour),
86,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,5,Light trapping,2,Total,1.149758454,,NA,,,individuals/(trap，hour),
87,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,6,Light trapping,2,Total,2.637681159,,NA,,,individuals/(trap，hour),
88,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,7,Light trapping,2,Total,3.246376812,,NA,,,individuals/(trap，hour),
89,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,8,Light trapping,2,Total,3.043478261,,NA,,,individuals/(trap，hour),
90,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,9,Light trapping,2,Total,2.299516908,,NA,,,individuals/(trap，hour),
91,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,10,Light trapping,2,Total,0.879227053,,NA,,,individuals/(trap，hour),
92,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2020,11,Light trapping,2,Total,0.202898551,,NA,,,individuals/(trap，hour),
93,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,3,Light trapping,2,Total,0.06763285,,NA,,,individuals/(trap，hour),
94,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,4,Light trapping,2,Total,0.270531401,,NA,,,individuals/(trap，hour),
95,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,5,Light trapping,2,Total,3.922705314,,NA,,,individuals/(trap，hour),
96,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,6,Light trapping,2,Total,8.589371981,,NA,,,individuals/(trap，hour),
97,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,7,Light trapping,2,Total,11.63285024,,NA,,,individuals/(trap，hour),
98,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,8,Light trapping,2,Total,8.657004831,,NA,,,individuals/(trap，hour),
99,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,9,Light trapping,2,Total,4.328502415,,NA,,,individuals/(trap，hour),
100,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,10,Light trapping,2,Total,2.164251208,,NA,,,individuals/(trap，hour),
101,ANHUI_10,Anhui,Maanshan,NA,118.506706,31.669572,2021,11,Light trapping,2,Total,0.270531401,,NA,,,individuals/(trap，hour),
102,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2019,Total,Light trapping,2,Anopheles sinensis,,,Indoor residential area,2,,individuals/(trap，night),
103,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2020,Total,Light trapping,2,Anopheles sinensis,,,Indoor residential area,1,,individuals/(trap，night),
104,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2021,Total,Light trapping,2,Anopheles sinensis,,,Indoor residential area,0,,individuals/(trap，night),
105,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Indoor residential area,0,,individuals/(trap，night),
106,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2019,Total,Light trapping,2,Anopheles sinensis,,,Outdoor residential area,3.5,,individuals/(trap，night),
107,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2020,Total,Light trapping,2,Anopheles sinensis,,,Outdoor residential area,1,,individuals/(trap，night),
108,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2021,Total,Light trapping,2,Anopheles sinensis,,,Outdoor residential area,1,,individuals/(trap，night),
109,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Outdoor residential area,1,,individuals/(trap，night),
110,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2019,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,15,,individuals/(trap，night),
111,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2020,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,14,,individuals/(trap，night),
112,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2021,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,19,,individuals/(trap，night),
113,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,14.5,,individuals/(trap，night),
114,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2019,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,6.5,,individuals/(trap，night),
115,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2020,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,1,,individuals/(trap，night),
116,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2021,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,6.5,,individuals/(trap，night),
117,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Livestock shed,3.5,,individuals/(trap，night),
118,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2019,Total,Light trapping,2,Anopheles sinensis,,,Water,5,,individuals/(trap，night),
119,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2020,Total,Light trapping,2,Anopheles sinensis,,,Water,1,,individuals/(trap，night),
120,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2021,Total,Light trapping,2,Anopheles sinensis,,,Water,1,,individuals/(trap，night),
121,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Water,1,,individuals/(trap，night),
122,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Pond,7.5,,individuals/(trap，night),
123,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Pond,1,,individuals/(trap，night),
124,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Pond,1,,individuals/(trap，night),
125,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Pond,2,,individuals/(trap，night),
126,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Paddy field,7,,individuals/(trap，night),
127,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Paddy field,2,,individuals/(trap，night),
128,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Paddy field,4.5,,individuals/(trap，night),
129,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Paddy field,2,,individuals/(trap，night),
130,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Gutter,1.5,,individuals/(trap，night),
131,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Gutter,0,,individuals/(trap，night),
132,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Gutter,0,,individuals/(trap，night),
133,ANHUI_11,Anhui,NA,NA,117.227415,31.795799,2022,Total,Light trapping,2,Anopheles sinensis,,,Gutter,0,,individuals/(trap，night),
134,ANHUI_13,Anhui,Hefei,NA,116.981692,31.983763,2014,5,Light trapping(CO2),2,Total,,,Airport,9.25,,individuals/(person，hour),
135,ANHUI_13,Anhui,Hefei,NA,116.981692,31.983763,2014,6,Light trapping(CO2),2,Total,,,Airport,10.08,,individuals/(person，hour),
136,ANHUI_13,Anhui,Hefei,NA,116.981692,31.983763,2014,7,Light trapping(CO2),2,Total,,,Airport,8.81,,individuals/(person，hour),
137,ANHUI_13,Anhui,Hefei,NA,116.981692,31.983763,2014,8,Light trapping(CO2),2,Total,,,Airport,3.96,,individuals/(person，hour),
138,ANHUI_13,Anhui,Hefei,NA,116.981692,31.983763,2014,9,Light trapping(CO2),2,Total,,,Airport,5.38,,individuals/(person，hour),
139,ANHUI_13,Anhui,Hefei,NA,116.981692,31.983763,2014,10,Light trapping(CO2),2,Total,,,Airport,3.33,,individuals/(person，hour),
140,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,3,Light trapping,2,Total,,,residential area,0.02,,individuals/(trap，hour),
141,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,4,Light trapping,2,Total,,,residential area,0.08,,individuals/(trap，hour),
142,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,5,Light trapping,2,Total,,,residential area,0.19,,individuals/(trap，hour),
143,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,6,Light trapping,2,Total,,,residential area,0.75,,individuals/(trap，hour),
144,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,7,Light trapping,2,Total,,,residential area,2.75,,individuals/(trap，hour),
145,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,8,Light trapping,2,Total,,,residential area,0.76,,individuals/(trap，hour),
146,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,9,Light trapping,2,Total,,,residential area,0.53,,individuals/(trap，hour),
147,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,10,Light trapping,2,Total,,,residential area,0.18,,individuals/(trap，hour),
148,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,11,Light trapping,2,Total,,,residential area,0.03,,individuals/(trap，hour),
149,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,3,Light trapping,2,Total,,,Park,0.04,,individuals/(trap，hour),
150,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,4,Light trapping,2,Total,,,Park,0.24,,individuals/(trap，hour),
151,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,5,Light trapping,2,Total,,,Park,0.48,,individuals/(trap，hour),
152,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,6,Light trapping,2,Total,,,Park,2.27,,individuals/(trap，hour),
153,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,7,Light trapping,2,Total,,,Park,2.39,,individuals/(trap，hour),
154,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,8,Light trapping,2,Total,,,Park,1.21,,individuals/(trap，hour),
155,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,9,Light trapping,2,Total,,,Park,1.33,,individuals/(trap，hour),
156,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,10,Light trapping,2,Total,,,Park,0.33,,individuals/(trap，hour),
157,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,11,Light trapping,2,Total,,,Park,0.08,,individuals/(trap，hour),
158,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,3,Light trapping,2,Total,,,Hospital,0.01,,individuals/(trap，hour),
159,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,4,Light trapping,2,Total,,,Hospital,0.1,,individuals/(trap，hour),
160,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,5,Light trapping,2,Total,,,Hospital,0.13,,individuals/(trap，hour),
161,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,6,Light trapping,2,Total,,,Hospital,9.88,,individuals/(trap，hour),
162,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,7,Light trapping,2,Total,,,Hospital,2.63,,individuals/(trap，hour),
163,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,8,Light trapping,2,Total,,,Hospital,1.26,,individuals/(trap，hour),
164,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,9,Light trapping,2,Total,,,Hospital,0.52,,individuals/(trap，hour),
165,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,10,Light trapping,2,Total,,,Hospital,0.23,,individuals/(trap，hour),
166,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,11,Light trapping,2,Total,,,Hospital,0.04,,individuals/(trap，hour),
167,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,3,Light trapping,2,Total,,,Rural residential area,0,,individuals/(trap，hour),
168,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,4,Light trapping,2,Total,,,Rural residential area,0.17,,individuals/(trap，hour),
169,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,5,Light trapping,2,Total,,,Rural residential area,0.54,,individuals/(trap，hour),
170,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,6,Light trapping,2,Total,,,Rural residential area,1.17,,individuals/(trap，hour),
171,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,7,Light trapping,2,Total,,,Rural residential area,5.05,,individuals/(trap，hour),
172,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,8,Light trapping,2,Total,,,Rural residential area,2.62,,individuals/(trap，hour),
173,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,9,Light trapping,2,Total,,,Rural residential area,1.36,,individuals/(trap，hour),
174,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,10,Light trapping,2,Total,,,Rural residential area,0.48,,individuals/(trap，hour),
175,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,11,Light trapping,2,Total,,,Rural residential area,0.11,,individuals/(trap，hour),
176,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,3,Light trapping,2,Total,,,Livestock shed,0.08,,individuals/(trap，hour),
177,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,4,Light trapping,2,Total,,,Livestock shed,0.6,,individuals/(trap，hour),
178,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,5,Light trapping,2,Total,,,Livestock shed,1.2,,individuals/(trap，hour),
179,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,6,Light trapping,2,Total,,,Livestock shed,6.89,,individuals/(trap，hour),
180,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,7,Light trapping,2,Total,,,Livestock shed,13.21,,individuals/(trap，hour),
181,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,8,Light trapping,2,Total,,,Livestock shed,13.92,,individuals/(trap，hour),
182,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,9,Light trapping,2,Total,,,Livestock shed,2.81,,individuals/(trap，hour),
183,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,10,Light trapping,2,Total,,,Livestock shed,0.64,,individuals/(trap，hour),
184,JIANGSU_37,Jiangsu,Huai'an,NA,119.017736,33.623497,2017,11,Light trapping,2,Total,,,Livestock shed,0.16,,individuals/(trap，hour),
185,ANHUI_15,Anhui,Tongling,NA,117.81,30.94,2015,5,Light trapping,1,Aedes albopictus,0.021,,NA,,,individuals/hour,
186,ANHUI_15,Anhui,Tongling,NA,117.81,30.94,2015,6,Light trapping,1,Aedes albopictus,0.014,,NA,,,individuals/hour,
187,ANHUI_15,Anhui,Tongling,NA,117.81,30.94,2015,7,Light trapping,1,Aedes albopictus,0,,NA,,,individuals/hour,
188,ANHUI_15,Anhui,Tongling,NA,117.81,30.94,2015,8,Light trapping,1,Aedes albopictus,0.067,,NA,,,individuals/hour,
189,ANHUI_15,Anhui,Tongling,NA,117.81,30.94,2015,9,Light trapping,1,Aedes albopictus,0.029,,NA,,,individuals/hour,
190,ANHUI_15,Anhui,Tongling,NA,117.81,30.94,2015,10,Light trapping,1,Aedes albopictus,0.019,,NA,,,individuals/hour,
